&	dan
dgn	dengan
dh	deh
diancurin	dihancurkan
digosipin	digosipkan
dimaafin	dimaafkan
dimana2	dimana mana
dimintak	diminta
dimna	dimana
disember	desember
disono	di sana
diuber	dikejar
dket	dekat
dkit	sedikit
dkk	dan kawan kawan
dkt	dekat
dl	dulu
dll	dan lain lain
dlm	dalam
dlu	dulu
dlu	dulu
dmn	dimana
dngn	dengan
doang	saja
dodol	bodoh
doi	dia
doku	uang
dom	domisili
done	selesai
dongs	dong
donlot	unduh
download	unduh
dpt	dapat
dr	dari
dri	dari
drmana	darimana
drmn	darimana
drpd	daripada
drtd	dari tadi
dsb	dan sebagainya
dsna	disana
dst	dan seterusnya
dstu	disitu
dtg	datang
dugem	dunia gemerlap
duh	aduh
duit	uang
dungu	bodoh
duren	durian
dy	dia
dzolim	zalim
ed	edisi
edan	gila
ego	emosi
egp	emang gue pikirin
eike	aku
eke	aku
elo	kamu
elu	kamu
elu	kamu
emang	memang
emangnya	memangnya
emank	memang
emg	memang
emng	memang
emte	makan teman
ena	enak
endak	tidak
engga	tidak
enggak	tidak
entar	nanti
entertainment	hiburan
envy	iri
epemilu	pemilu elektronik
epsd	episode
etc	et cetera
ex	mantan
ext	extension
fake	palsu
faktakta	fakta
fans	penggemar
faq	pertanyaan umum
fax	facsimile
fb	facebook
fham	paham
fhm	paham
fifo	first in first out
finek	finansial ekonomi
fitnag	fitnah
fix	pasti
folbek	ikuti balik
follback	ikuti balik
follow	ikuti
fresh	segar
ft	foto
fwd	diterukan
fyi	sebagai informasi
g	tidak
ga	tidak
gaada	tidak ada
gabisa	tidak bisa
gabut	gaji buta
gada	tidak ada
gaes	teman teman
gag	tidak
gahar	sangar
gaje	tidak jelas
gajebo	tidak jelas
gak papa	tidak apa apa
gak	tidak
gak	tidak
galau	bimbang
gamau	tidak mau
gan	juragan
gantengbs	ganteng
gantengsaya	ganteng
gapapa	tidak apa apa
gaptek	gagap teknologi
garing	hambar
gatau	tidak tahu
gatek	gagap teknologi
gatot	gagal total
gawe	kerja
gax	tidak
gblk	bodoh
gblok	bodoh
gbs	tidak bisa
gda	tidak ada uang
gebetan	orang yang disuka
geblek	bodoh
geer	gede rasa
gegara	gara gara
geje	tidak jelas
gelo	gila
gengges	ganggu
gepeng	gelandangan dan pengemis
gf	pacar
ggl	gagal
ghiey	lagi
ghiy	lagi
gi	lagi
gile	gila
gils	gila
giman	gigi mancung
gimana	bagaimana
gini	begini
gino	gigi nongol
gitchu	gitu
githu	gitu
gitu	begitu
gj	tidak jelas
gk	tidak
gmana	bagaimana
gmn	bagaimana
gmpng	gampang
gn	begini
goblog	bodoh
goblok	bodoh
gogon	go internasional
gokil	gila
goks	gila
golput	golongan putih
gombal	suka merayu
good	bagus
governor	gubernur
gowes	mengayuh sepeda
gpl	tidak pakai lama
gpny	tidak punya
gpp	tidak apa apa
gr	gede rasa
grammar	tata bahasa
gretong	gratis
gretongan	gratisan
gt	begitu
gt	gitu
gtau	tidak tahu
gtw	tidak tahu
gua	saya
gub	gubernur
gue	aku
guoblok		bodoh
guys	teman teman
gw	aku
gws	cepat sembuh
ha	tertawa
hacep	seru
haghaghag	tertawa
haha	tertawa
hahaha	tertawa
hhh	tertawa
hhhh	tertawa
hakhak	tertawa
hallo	halo
hallow	halo
hallow	halo
halow	halo
handak	bahan peledak
hankam		pertahanan dan keamanan
hansip	pertahanan sipil
happy	bahagia
hardcore	keras
hater	pembenci
haters	pembenci
hdp	hidup
hdr	hadir
hello	halo
hellow	halo
helo	halo
helow	halo
heter	pembenci
heters	pembenci
hey	hai
hi	hai
hit	terpopuler
hits	terkini
hlm	halaman
hlng	hilang
hny	hanya
hnya	hanya
hoax	isu bohong
hooree	hore
horee	hore
horeee	hore
horey	hore
horray	hore
houm	rumah
hr	hari
hrs	harus
hrus	harus
hubad	hubungan angkatan darat
hubdar	perhubungan darat
hubla	perhubungan laut
huff	mengeluh
huft	mengeluh
hum	rumah
humas	hubungan masyarakat
humoris	lucu
humz	rumah
hurray	hore
hurts	pedih
idk	saya tidak tahu
ig	instagram
ikon	lambang
ilang	hilang
ilfeel	tidak suka
ilfil	tidak suka
imba	jago sekali
imho	in my humble opinion
imoet	imut
imoetz	imut
indo	indonesia
info	informasi
insom	insomnia
iow	dengan kata lain
ipon	iphone
irit	hemat
isengin	bercanda
ista	nista
istaa	nista
item	hitam
itung	hitung
itungan	hitungan
iy	iya
iyala	iya lah
iye	iya
iyo	iya
ja	saja
jablay	jarang dibelai
jadiin	jadi
jadiin	jadikan
jadul	jaman dulu
jaim	jaga image
jancuk	anjing
janjinyaa	janji
jayus	tidak lucu
jd	jadi
jdi	jadi
jdi	jadi
jdikan	jadikan
jdnya	jadinya
jejeg	tegak
jem	jam
jentelmen	berani
jg	juga
jga	juga
jgan	jangan
jgn	jangan
jgnkan	jangankan
jijay	jijik
jir	anjing
jkt	jakarta
jl	jalan
jln	jalan
jls	jelas
jnj	janji
job	pekerjaan
jomblo	tidak punya pacar
jth	jatuh
jubir	juru bicara
jurdil	jujur adil
jutek	galak
jutek	galak
jwb	jawab
k	ke
ka	kakak
kab	kabupaten
kabag	kepala bagian
kabor	kabur
kacian	kasihan
kacrut	kacau
kadit	kepala direktorat
kadiv	kepala divisi
kaga	tidak
kagak	tidak
kaka	kakak
kalo	kalau
kampret	sialan
kamseupay	kampungan
kamtib	keamanan dan ketertiban
kamtibmas	keamanan dan ketertiban masyarakat
kamuh	kamu
kamuwh	kamu
kamyu	kamu
kanwil	kantor wilayah
kapt	kapten
karn	karena
karna	karena
kasat	kepala satuan
kasubbag	kepala subbagian
kasubbid	kepala subbidang
katrok	kampungan
kau	kamu
kayanya	kayaknya
kbar	kabar
kbr	kabar
kca	kaca
kcian	kasihan
kdu	harus
keburu	terlanjur
kec	kecamatan
kedubes	kedutaan besar
kei	kasih
kejurnas	kejuaraan nasional
kek	seperti
kekeuh	keras kepala
keknya	kayaknya
kel	kelurahan
keles	kali
keleus	kali
keliatan	kelihatan
kemaren	kemarin
keneh	masih
kengototan	keras kepala
kentot	senggama
kep	kepulauan
kepengen	mau
kepikiran	terpikirkan
kepingin	mau
kepo	penasaran
kepsek	kepala sekolah
kere	tidak punya uang
kesbang	kesatuan bangsa
kesian	kasihan
kesra	kesejahteraan rakyat
kesupen	lupa
ketauan	ketahuan
ketrima	diterima
ketum	ketua umum
keukeuh	keras kepala
kgiatan	kegiatan
kgk	kagak
khan	kan
kibul	bohong
kibus	kaki busuk
kicep	diam
kimpoi	kawin
kipak	bohong
